"Feature / Workflow","One-Line Description","Frontend Status","Backend Status","Data Status","Functional Status","Score / 100","Evidence / Files Checked","Key Gaps"
"Authentication","User/session auth and access control across the app","Missing","Missing","Missing","Nonfunctional","0","frontend/src/app; backend/app/api/v1; backend/app/core","No login, no tenancy, no authorization, and no per-user data isolation"
"Screener","Planned stock screener page and backend query engine","Mocked","Missing","Missing","Nonfunctional","0","frontend/src/app/screener/page.tsx","Pure placeholder page with no backend or data pipeline"
"Standalone AI chat","Separate AI chat page outside the advisor workflow","Mocked","Mocked","Mock","Nonfunctional","5","frontend/src/app/ai-chat/page.tsx; backend/app/api/v1/endpoints/ai_chat.py","Returns scaffold text only; no real model execution or portfolio context"
"Broker sync","Connect broker accounts and sync holdings into a portfolio","Partial","Mocked","Missing","Nonfunctional","10","frontend/src/app/brokers/page.tsx; frontend/src/hooks/useBrokerConnections.ts; backend/app/api/v1/endpoints/brokers.py; backend/app/services/broker_service.py; backend/app/connectors","Feature flag disabled and connectors are scaffolded only"
"Efficient frontier legacy page","Standalone frontier page and deprecated frontier endpoint","Mocked","Mocked","Missing","Nonfunctional","15","frontend/src/app/frontier/page.tsx; backend/app/api/v1/endpoints/frontier.py","Real optimizer exists elsewhere but this surface is still coming-soon/scaffolded"
"Mock data runtime isolation","Legacy mock mode removal from real runtime flows","Partial","Partial","Mock","Partially Functional","35","backend/app/core/dependencies.py; frontend/src/store/dataModeStore.ts; backend/app/data_providers/mock_provider.py; backend/app/db/init_db.py","Runtime avoids mock mode but stale schemas, types, docs, and UI references remain"
"Upcoming events","Corporate events timeline alongside portfolio news","Complete","Partial","Missing","Partially Functional","38","frontend/src/app/news/page.tsx; frontend/src/hooks/useNews.ts; backend/app/api/v1/endpoints/news.py","Events are usually empty because no real corporate calendar integration exists"
"News","Portfolio-relevant news feed for holdings and market context","Complete","Partial","Mixed","Partially Functional","45","frontend/src/app/news/page.tsx; frontend/src/hooks/useNews.ts; backend/app/api/v1/endpoints/news.py; backend/app/data_providers/file_provider.py; backend/app/data_providers/live_provider.py","Usually empty without NEWS_API_KEY and backend still carries scaffold-era behavior"
"Tests","Automated confidence layer for backend and frontend workflows","Missing","Partial","Real","Partially Functional","55","backend/tests; frontend","Backend contract tests exist, but there are no meaningful frontend tests or end-to-end browser tests"
"Rebalancing / simulation","Client-side portfolio sandbox for weight changes and what-if scenarios","Complete","Partial","Mixed","Partially Functional","60","frontend/src/app/simulate/page.tsx; frontend/src/hooks/useSimulation.ts; frontend/src/lib/simulation.ts","Mostly frontend sandbox, not persisted, and not backed by a dedicated simulation service"
"Advisor / copilot","Portfolio Q&A using AI when available or rules otherwise","Complete","Partial","Mixed","Partially Functional","65","frontend/src/app/advisor/page.tsx; frontend/src/hooks/useAdvisor.ts; backend/app/api/v1/endpoints/advisor.py; backend/app/services/ai_advisor_service.py; backend/app/services/context_builder.py","True AI depends on provider keys and package availability; otherwise it degrades to rule-based responses"
"Peer comparison","Compare a holding against industry peers across fundamentals","Complete","Partial","Mixed","Partially Functional","66","frontend/src/app/peers/page.tsx; frontend/src/hooks/usePeerComparison.ts; backend/app/api/v1/endpoints/peers.py; backend/app/data_providers/live_provider.py; backend/app/data_providers/file_provider.py","Fundamentals are real but peer universe discovery is mostly a static curated map"
"Post-upload enrichment","Async enrichment of names, sectors, and fundamentals after import","Partial","Partial","Mixed","Partially Functional","67","frontend/src/app/upload/page.tsx; backend/app/services/upload_v2_service.py; backend/app/ingestion/sector_enrichment.py; backend/app/services/job_status_service.py","Runs in background but the upload UI does not actively poll and surface completion/failure states"
"Landing page / market overview","Primary market entry page with indices, movers, and headlines","Complete","Partial","Live API","Partially Functional","68","frontend/src/app/page.tsx; frontend/src/app/market/page.tsx; backend/app/api/v1/endpoints/market.py","Indices and movers are real, but headlines and some asset blocks are placeholders"
"Price enrichment","Fetch and apply live prices to uploaded holdings","Partial","Partial","Live API","Partially Functional","71","backend/app/data_providers/live_provider.py; backend/app/services/upload_confirm_service.py; frontend/src/hooks/useLiveData.ts","Coverage depends on symbol quality and can fall back to average cost, which hides stale pricing"
"Fundamentals","Per-holding and weighted valuation, quality, growth, and leverage metrics","Complete","Partial","Mixed","Partially Functional","72","frontend/src/app/fundamentals/page.tsx; frontend/src/hooks/useFundamentals.ts; backend/app/api/v1/endpoints/analytics.py; backend/app/services/fundamentals_view_service.py","Coverage gaps remain for unsupported tickers and unavailable Yahoo/FMP results"
