"Location","Type of Mock/Fallback","Used By Which Feature","Risk Level","Can It Be Removed Now?","Replacement Needed"
"backend/app/api/v1/endpoints/ai_chat.py; frontend/src/app/ai-chat/page.tsx","Explicit scaffold response and scaffold-only chat UI","Standalone AI chat","Critical","No","Implement a real AI chat backend with portfolio context or remove the page and route"
"backend/app/connectors/zerodha.py; backend/app/connectors/ibkr.py; backend/app/data_providers/broker_provider.py; backend/app/services/broker_service.py; frontend/src/app/brokers/page.tsx","Scaffolded connector and sync logic presented through a real UI shell","Broker sync","Critical","No","Implement connector auth, secure credentials, holdings sync, and reconciliation flows"
"backend/app/api/v1/endpoints/frontier.py; frontend/src/app/frontier/page.tsx","Deprecated scaffold endpoint and coming-soon page","Legacy frontier page","High","Yes","Retire the page or wire it directly to the real optimization output"
"backend/app/api/v1/endpoints/analytics.py:/risk","Null-valued scaffold response with note only","Legacy risk endpoint consumers","High","Yes","Fully deprecate it and migrate all consumers to /quant/full"
"backend/app/services/snapshot_service.py","Placeholder persisted risk payload using risk_metrics_json = {}","Snapshots / history detail","High","No","Persist actual risk metrics at snapshot capture time"
"backend/app/api/v1/endpoints/news.py; backend/app/data_providers/live_provider.py; backend/app/data_providers/file_provider.py","Empty-list fallback when news/event providers are missing or unavailable","News and upcoming events","High","No","Integrate real news and events providers and expose explicit freshness/availability signals"
"frontend/src/app/screener/page.tsx","Placeholder-only beta page with no backend","Screener","High","Yes","Build a real screener endpoint and ranking/filter engine before exposing the feature"
"frontend/src/app/upload/page.tsx","Success flow without active polling of async enrichment status","Portfolio upload and enrichment trust surface","Medium","No","Poll /api/v1/upload/v2/status/{portfolio_id} until enrichment completes or fails"
"backend/app/data_providers/live_provider.py::_PEER_MAP; backend/app/data_providers/file_provider.py:get_peers","Static curated peer map with partial FMP fallback","Peer comparison","Medium","Not fully","Add robust peer discovery or a maintained canonical peer dataset"
"backend/app/services/ai_advisor_service.py; frontend/src/hooks/useAdvisor.ts","Rule-based fallback used when LLM provider is unavailable","Advisor / copilot","Medium","No","Add reliable provider integration, monitoring, and prompt/context hardening"
"backend/app/api/v1/endpoints/market.py","Placeholder/unavailable headlines and coming-soon market blocks","Market landing page","Medium","Yes","Add real market headlines and complete missing data panels"
"backend/app/data_providers/mock_provider.py; backend/mock_data/portfolio.json","Full static mock provider retained in repo","Legacy mock mode","Medium","Yes","None for current runtime; cleanup only"
"backend/app/db/init_db.py::_seed_mock_portfolio()","Disabled demo seeding code path","Legacy startup demo portfolio","Low","Yes","None"
"backend/app/core/dependencies.py; frontend/src/store/dataModeStore.ts; frontend/src/types/index.ts","Stale mock-mode references kept for compatibility and cleanup","Data mode selection and generated types","Low","Yes","Remove mock references from schemas, generated types, and UI copy"
